ArraySize; ThreadsX; ThreadsY; GridSizeX; GridSizeY; Kernel1; Kernel2.1; Kernel2.2; Kernel1.2; HostTime; HostToDevice; DeviceToHost; CacheConfiguration; GPU
16384;32;1;512;1;429.454;8.98611;229.377;245.746;824.944;114.045;0.028032;PrefereL1;GPU01
16384;64;1;256;1;437.344;8.9824;229.658;93.7585;825.16;113.292;0.02864;PrefereL1;GPU01
16384;128;1;128;1;441.629;8.98064;229.293;66.3202;824.323;110.144;0.029568;PrefereL1;GPU01
16384;256;1;64;1;454.131;8.9896;229.34;53.4336;826.099;109.844;0.029216;PrefereL1;GPU01
16384;512;1;32;1;443.049;8.98237;229.506;51.2465;824.84;95.1444;0.028576;PrefereL1;GPU01
16384;1024;1;16;1;424.834;8.9865;229.627;63.217;824.222;111.59;0.029952;PrefereL1;GPU01
16384;128;1;128;1;424.848;8.99197;229.383;66.2211;824.797;112.558;0.028544;PreferEqual;GPU01
16384;64;1;256;1;436.897;9.21347;229.247;93.9313;825.335;120.034;0.027488;PreferEqual;GPU01
16384;32;1;512;1;437.298;8.98998;229.27;245.624;824.354;110.629;0.028224;PreferEqual;GPU01
16384;256;1;64;1;440.056;8.98256;230.779;53.8622;823.808;102.863;0.028544;PreferEqual;GPU01
16384;512;1;32;1;441.637;8.99104;231.105;51.6253;823.986;106.465;0.02832;PreferEqual;GPU01
16384;1024;1;16;1;436.398;8.99309;230.769;63.5355;824.512;113.487;0.0288;PreferEqual;GPU01
16384;32;1;512;1;432.209;8.98365;229.349;245.685;824.518;102.083;0.028448;Shared;GPU01
16384;128;1;128;1;436.58;8.98838;229.378;66.3109;823.856;107.504;0.027616;Shared;GPU01
16384;64;1;256;1;430.305;8.98954;229.2;93.7281;824.005;102.718;0.029056;Shared;GPU01
16384;256;1;64;1;439.662;9.0103;231.089;53.775;826.27;108.452;0.027808;Shared;GPU01
16384;512;1;32;1;430.253;9.06138;231.441;51.7446;823.931;116.787;0.028512;Shared;GPU01
16384;1024;1;16;1;455.002;9.03869;231.071;63.8362;824.378;111.752;0.03024;Shared;GPU01
16384;32;1;512;1;430.888;8.97914;229.351;245.601;825.662;109.393;0.02832;PrefereNone;GPU01
16384;64;1;256;1;437.804;8.97878;230.949;94.6032;824.052;108.349;0.029024;PrefereNone;GPU01
16384;128;1;128;1;433.545;9.03594;231.477;66.811;824.015;103.17;0.027712;PrefereNone;GPU01
16384;256;1;64;1;440.178;9.0433;231.51;53.8449;823.83;107.649;0.028288;PrefereNone;GPU01
16384;512;1;32;1;451.071;9.03024;231.403;51.6665;823.94;110.488;0.027776;PrefereNone;GPU01
16384;1024;1;16;1;444.35;9.03056;231.435;63.5932;823.71;102.373;0.028896;PrefereNone;GPU01
