
ArraySize; ThreadsX; ThreadsY; GridSizeX; GridSizeY; Kernel 1; Kernel 2.1; Kernel 2.2; Kernel 1.2; HostTime; HostToDevice; DeviceToHost; CacheConfiguration
20480;32;1;640;1;0.23911;0.0142061;0.00672502;0.451748;1.28904;0.171917;3.3888e-05
20480;32;1;640;1;0.27815;0.0142302;0.0067217;0.451656;1.28991;0.172427;3.3312e-05
20480;32;1;640;1;0.236904;0.0141384;0.00667059;0.447969;1.2872;0.172595;3.4368e-05;EqualCache
20480;512;1;40;1;0.277581;0.0147292;0.00610726;0.0672543;1.28923;0.159476;3.2576e-05;EqualCache
20480;512;1;40;1;0.253595;0.0148457;0.0061385;0.0676249;1.2867;0.159165;3.2416e-05;EqualCache
20480;512;1;40;1;0.253366;0.0148483;0.0061367;0.0677477;1.28702;0.158952;3.1648e-05;EqualCache
20480;512;1;40;1;0.264027;0.0147202;0.00609613;0.0673831;1.28734;0.156101;3.2928e-05;EqualCache
20480;512;1;40;1;0.562253;0.0314658;0.0108281;0.142117;1.29487;0.173221;3.6e-05;EqualCache
20480;512;1;40;1;0.254132;0.0148092;0.00612614;0.0676035;1.28875;0.155759;3.12e-05;EqualCache
20480;512;1;40;1;0.25428;0.0148098;0.00612573;0.0676862;1.28742;0.172246;3.3056e-05;EqualCache
20480;512;1;40;1;0.254345;0.0148521;0.0061399;0.0676356;1.28846;0.15466;3.2832e-05;EqualCache
20480;512;1;40;1;0.294694;0.0148518;0.00614019;0.067726;1.28746;0.160283;3.3248e-05;EqualCache
20480;512;1;40;1;0.254312;0.0148481;0.0061399;0.0679281;1.28909;0.158347;3.3472e-05;EqualCache
20480;512;1;40;1;0.252744;0.014715;0.00609946;0.0672246;1.2882;0.155381;3.2928e-05;EqualCache
20480;512;1;40;1;0.253098;0.0148521;0.0061377;0.0677783;1.28665;0.160279;3.3376e-05;EqualCache
20480;512;1;40;1;0.25372;0.0148537;0.00613984;0.0676194;1.28664;0.160813;3.28e-05;EqualCache
20480;512;1;40;1;0.295895;0.0147517;0.00610714;0.0672112;1.28791;0.160305;3.3792e-05;EqualCache
20480;512;1;40;1;0.268095;0.014849;0.00613946;0.0677291;1.28787;0.15913;3.2704e-05;EqualCache
20480;512;1;40;1;0.280362;0.0147439;0.00611098;0.0671703;1.28935;0.159035;3.2512e-05;EqualCache
20480;512;1;40;1;0.298043;0.0140642;0.00660054;0.0671375;1.28746;0.158975;3.2384e-05;EqualCache
20480;512;1;40;1;0.256793;0.0140325;0.00660045;0.0675741;1.28715;0.160801;4.7616e-05;EqualCache
20480;512;1;40;1;0.249337;0.0141153;0.0066359;0.0678726;1.28799;0.172632;3.3408e-05;EqualCache
20480;512;1;40;1;0.0184181;0.014149;0.00663446;0.0676213;1.28816;0.159267;3.3088e-05;EqualCache
20480;512;1;40;1;0.276937;0.0141102;0.00662282;0.0676231;1.28781;0.160469;3.2352e-05;EqualCache
20480;512;1;40;1;0.277207;0.0141051;0.00662902;0.0677645;1.28738;0.158997;3.1968e-05;EqualCache
20480;512;1;40;1;8e-07;0.0170455;0.0075704;0.0827138;1.28991;0.1601;3.3376e-05;EqualCache
20480;512;1;40;1;9.6e-07;0.0149586;0.00687309;0.0715659;1.28844;0.155435;3.3696e-05;EqualCache
20480;512;1;40;1;0.240456;0.0141128;0.00662938;0.0676639;1.28785;0.172907;3.2224e-05;EqualCache
20480;512;1;40;1;0.240471;0.0141108;0.00662835;0.0679731;1.28748;0.158913;3.328e-05;EqualCache
20480;512;1;40;1;0.238965;0.0141325;0.00663181;0.0676183;1.28726;0.156166;3.2352e-05;EqualCache
20480;512;1;40;1;0.237649;0.014112;0.0066311;0.0676261;1.28792;0.158845;3.1744e-05;EqualCache
